"676,022,06","797,736,51","969,072,41","582,138,2","727,069,29","002,539,62","152,718,6","102,783","511,144,1","925,180,6",")732,453,5(","704,861,2"
"391,578","843,794,1","008,265","120,637","263,176,3","201,063","664,42",-,")907,392(","458,641","865,381","417,63"
"623,825","588,68","236,331","011,11","359,957","296,602","382,05",-,"697,06",")893,03(","899,73","693,86"
"971,069,3","242,469","795,225,1","018,872,1","728,527,7","138,750,1",")745,73(",-,"660,816","330,903",")192,683(","808,045"
"796,763,1","305,418,3","870,824,2","467,814,1","240,920,9","966,721,1","717,241",-,")916,907(","180,854",")784,31(",")520,562("
"371,256,8","157,445,1","945,722,7","180,842","455,276,71","578,400,4",")759,691(",-,"105,000,1",-,"000,004,1","105,004,2"
"990,335,41","492,2","482,209,1","843,64","320,484,61","709,141","550,821",-,")479,6(","709,141",")770,041(",")441,5("
"133,939,3","017,152,6",")740,548(",")748,153,1(","741,499,7","477,381,41","468,347,1","102,783","393,743,1",")869,671(",")137,080,2(",")603,019("
"837,175,71","004,042",-,")685,08(","255,137,71","176,899,4","733,776,4",-,")416,413(","416,605,2",")460,591,2(",")460,3("
"049,297,8","466,532,1","870,933,1","585,425","662,298,11","876,358","330,582",-,")427,062(","404,627,2",")251,061,2(","825,503"
