"10,834,309 2,833,837 3,235,244 954,877 229,679 18,087,946
2,636,326 1,829,510 2,095,395 583,645 169,685 7,314,561
8,197,983 1,004,327 1,139,849 371,232 59,994 10,773,385
2,917,971 419,274 315,782 8,519 35,486 3,697,032
1,887,877 - - - - 1,887,877
571,193 373,486 536,872 161,921 40,873 1,684,345
13,575,024 1,797,087 1,992,503 541,672 136,353 18,042,639
12,186,349 1,506,018 2,063,440 764,397 115,841 16,636,045
2,991,708 920,224 1,197,185 463,898 77,476 5,650,491
9,194,641 585,794 866,255 300,499 38,365 10,985,554
1,628,447 293,130 379,736 125,946 56,369 2,483,628
1,533,677 266,569 423,136 109,323 12,448 2,345,153
3,162,124 559,699 802,872 235,269 68,817 4,828,781
1,218,259 651,594 323,376 5,904 29,171 2,228,304
- (47,629) - - - (47,629)
539,344 431,169 - - - 970,513
1,757,603 1,035,134 323,376 5,904 29,171 3,151,188
389,889 149,359 102,834 - 6,289 648,371
1,367,714 885,775 220,542 5,904 22,882 2,502,817"
"9,881,506 2,465,318 2,369,838 464,394 218,458 15,399,514
2,500,558 1,580,748 1,443,385 343,403 158,438 6,026,532
7,380,948 884,570 926,453 120,991 60,020 9,372,982
2,467,506 508,935 146,568 7,725 26,247 3,156,981
443,547 - - - - 443,547
554,890 296,597 359,898 107,503 33,960 1,352,848
10,846,891 1,690,102 1,432,919 236,219 120,227 14,326,358
9,148,198 1,107,201 1,437,652 323,012 182,140 12,198,203
1,902,882 627,262 736,738 230,345 145,439 3,642,666
7,245,316 479,939 700,914 92,667 36,701 8,555,537
1,510,573 299,996 263,573 84,139 45,597 2,203,878
1,390,495 245,247 321,547 56,659 6,909 2,020,857
2,901,068 545,243 585,120 140,798 52,506 4,224,735
700,507 664,920 146,885 2,754 31,020 1,546,086
- (47,937) - - - (47,937)
869,390 325,764 - - - 1,195,154
1,569,897 942,747 146,885 2,754 31,020 2,693,303
179,471 169,712 51,359 - 8,260 408,802
1,390,426 773,035 95,526 2,754 22,760 2,284,501"
