"KE, UG, TZ, BU","KE, UG, TZ",KE,"KE, UG, BU"
Life and investment Products,Health products,Financial investment Products,Other services
,"Individual Health plans – Com-
prehensive health insurance packages
for children, individuals, families,
and senior citizens. Options for
Micro products are also available to
Individuals.","Money Market Fund – A low risk
Unit Trust Fund providing access to
a well-diversified portfolio of money
market instruments. Available in Kenya
Shillings and USD",
,"SME plan – Comprehensive health
solutions for small and medium sized
enterprises.","Fixed Income Fund - A low to
medium risk fund that invests in interest
bearing securities denominated in
Kenya Shillings",
,"Corporate Health – tailored made
to suit health benefit and budget
requirements of each organisation",,
,"Third party administration for
corporates seeking to outsource claims
processing and benefit management
services",,
,"Critical Illness* are available as
riders to existing corporate and SME
plans",,
,"International Health* through
Henner Group and Allianz – provides
and a comprehensive global health
insurance solution for individuals and
corporates",,
