ew standards,"Effective for annual periods
beginning on or after"
RS 16 Leases,1 January 2019
RIC 23 Classification on accounting for income tax exposures,1 January 2019
S 28 Long-term Interests in Associates and Joint Ventures,1 January 2019
RS 17 Insurance contracts,1 January 2022
RS 9 Prepayment Features with Negative Compensation,1 January 2019
"le or Contribution of Assets between an Investor and its Associate or Company (Amendments to
RS 10 and IAS 28).",To be determined
nnual improvements cycle (2015 – 2017),1 January 2019
"S 19 Plan Amendment, Curtailment or Settlement (Amendments to IAS 19)",1 January 2019
RS 3 Definition of balances,1 January 2020
mendments to IAS 1& IAS 8 Definition of Material,1 January 2020
mendments to references to conceptual framework in IFRS standards,1 January 2020
