"2022
Kes '000",Medical,"Individual
Life",Group Life,"Group
Credit",Annuities,"Investment
contracts
with DPF",General,Total
,"17,016
305,689
1,495,167","31,195
560,430
2,741,139","25,523
458,534
2,242,750","5,672
101,896
498,389","11,344
203,793
996,778","22,687
407,586
1,993,557","-
-
-","113,437
2,037,928
9,967,780"
Loans and advances,,,,,,,,
"Interest from deposits with financial
Institutions",,,,,,,,
"Financial debt securities at amortized
cost",,,,,,,,
Total Interest Income,"1,817,872","3,332,764","2,726,807","605,957","1,211,915","2,423,830",-,"12,119,145"
,"55,896
71,868
12,539
9,322
30,103","102,475
131,758
22,989
17,090
55,189","83,843
107,802
18,809
13,983
45,155","18,632
23,956
4,180
3,107
10,034","37,264
47,912
8,360
6,215
20,069","74,527
95,825
16,719
12,430
40,137","-
-
-
-
-","372,637
479,121
83,596
62,147
200,687"
"Rental income from investment
properties",,,,,,,,
Dividends from equity investments,,,,,,,,
Gain on sale of quoted equities,,,,,,,,
"Gain on sale of financial debt securi-
ties at fair value",,,,,,,,
Exchange Gain,,,,,,,,
Total Investment Income,"179,728","329,501","269,592","59,909","119,820","239,638",-,"1,198,188"
,"(159,641)
22,402
(39,036)
74,988
94,161
(41,698)
(15,015)","(292,675)
41,070
(71,566)
137,477
172,628
(76,447)
(27,528)","(239,461)
33,602
(58,554)
112,482
141,241
(62,548)
(22,523)","(53,214)
7,467
(13,012)
24,996
31,387
(13,899)
(5,005)","(106,427)
14,934
(26,024)
49,992
62,774
(27,799)
(10,010)","(212,853)
29,869
(52,047)
99,983
125,546
(55,598)
(20,022)","-
-
-
-
-
-
-","(1,064,271)
149,344
(260,239)
499,918
627,737
(277,989)
(100,103)"
"Fair value (losses) on quoted equity
investments (Note 23)",,,,,,,,
"Fair value gains on unquoted equity
investments (Note 19)",,,,,,,,
"Fair value (losses) on government
securities (Note 20)",,,,,,,,
"Fair value gains on debt securities at
FVTPL",,,,,,,,
Exchange differences,,,,,,,,
"Net gains from fair value adjustments
to investment properties",,,,,,,,
Allowance for expected credit losses,,,,,,,,
Total fair value movements,"(63,839)","(117,041)","(95,761)","(21,280)","(42,560)","(85,122)",-,"(425,603)"
Net investment income,"1,933,761","3,545,224","2,900,638","644,586","1,289,175","2,578,346",-,"12,891,730"
,"-
-
-","(2,146,397)
135,053
-","-
-
-","(393,644)
612,835
-","(2,336,128)
556
-","-
-
(6,807,371)","-
-
-","(4,876,169)
748,444
(6,807,371)"
Interest accreted,,,,,,,,
"Effect of changes in interest rates and
other financial assumptions",,,,,,,,
"Changes in fair value of underlying
items of direct participating contracts",,,,,,,,
Net insurance finance expenses,-,"(2,011,344)",-,"219,191","(2,335,572)","(6,807,371)",-,"(10,935,096)"
,"1,817,872
179,728
(63,839)
-","3,332,764
329,501
(117,041)
(2,011,344)","2,726,807
269,592
(95,761)
-","605,957
59,909
(21,280)
219,191","1,211,915
119,820
(42,560)
(2,335,572)","2,423,830
239,638
(85,122)
(6,807,371)","-
-
-
-","12,119,145
1,198,188
(425,603)
(10,935,096)"
"Summary of the amounts rec-
ognised
in profit or loss",,,,,,,,
Total Interest Income,,,,,,,,
Total Investment Income,,,,,,,,
Total fair value movements,,,,,,,,
Net insurance finance expenses,,,,,,,,
,"1,933,761","1,533,880","2,900,638","863,777","(1,046,397)","(4,229,025)",-,"1,956,634"
,"70,047
(181,271)
1,933,761
-","128,419
378,609
3,545,224
(2,011,344)","105,071
(88,622)
2,900,638
-","23,349
(13,629)
644,586
219,191","46,698
182,589
1,289,175
(2,335,572)","93,393
723,407
2,578,346
(6,807,371)","-
414,626
-
-","466,977
1,415,709
12,891,730
(10,935,096)"
"Summary of the amounts rec-
ognised
in OCI",,,,,,,,
"Total fair value movements through
OCI",,,,,,,,
"Summary of the amounts rec-
ognised",,,,,,,,
Insurance service result,,,,,,,,
Net investment income,,,,,,,,
Net insurance finance expenses,,,,,,,,
"Net insurance and investment
result","1,752,490","1,912,489","2,812,016","850,148","(863,808)","(3,505,618)","414,626","3,372,343"
