"9,794,410","4,180,270","9,645,136","23,619,816"
"344,301","4,644,232","18,260","5,006,793"
"(1,592,113)","(981,902)",-,"(2,574,015)"
"(730,354)","(523,154)","(330,436)","(1,583,944)"
"7,816,244","7,319,446","9,332,960","24,468,650"
"939,533","9,109,240","21,294","10,070,067"
"262,100","905,215","(5,012)","1,162,303"
"92,062",-,-,"92,062"
"286,678","966,304","(5,951)","1,247,031"
"(57,049)","(66,250)","21,294","(102,005)"
"(339,055)","(415,528)","(20,072)","(774,655)"
"(109,426)","484,526","(4,729)","370,371"
