Kenya,Uganda,Tanzania,Mauritius,Burundi,Total
"7,642,938","1,933,803","2,256,411","98,357","127,307","12,058,816"
"1,730,507","1,243,080","1,566,831","71,068","105,334","4,716,820"
"5,912,431","690,723","689,580","27,289","21,973","7,341,996"
"2,240,023","332,138","112,776","3,367","4,083","2,692,387"
"(329,164)",-,-,-,-,"(329,164)"
"336,930","250,031","236,577","24,069","16,037","863,644"
"8,160,220","1,272,892","1,038,933","54,725","42,093","10,568,863"
"6,654,981","1,241,554","950,389","95,803","51,962","8,994,689"
"1,397,618","841,442","525,644","70,551","45,415","2,880,670"
"5,257,363","400,112","424,745","25,252","6,547","6,114,019"
"1,249,816","204,081","246,316","67,275","36,843","1,804,331"
"1,119,881","194,945","246,205","14,080","5,309","1,580,420"
"2,369,697","399,026","492,521","81,355","42,152","3,384,751"
"533,160","473,754","121,667","(51,882)","(6,606)","1,070,093"
-,"(49,937)",-,-,-,"(49,937)"
"683,114","440,621",-,-,-,"1,123,735"
"1,216,274","864,438","121,667","(51,882)","(6,606)","2,143,891"
"254,105","(58,592)","35,818",-,"2,170","233,501"
"962,169","923,030","85,849","(51,882)","(8,776)","1,910,390"
