US Dollar,"Uganda
Shillings","Tanzania
Shillings","Mauritius
Rupees","Burundi
Francs",Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
-,"28,809","853,408","300,053","87,697","1,269,967"
-,"9,114","38,177","15,906","(2,096)","61,101"
"2,087",-,"929,208","64,222","614,879","1,610,396"
-,"3,459","138,070","114,780","193,901","450,210"
"2,087","41,382","1,958,863","494,961","894,381","3,391,674"
-,"39,022","1,366,316","1,206","180,618","1,587,162"
-,"30,112","1,361,038","2,546","125,332","1,519,028"
-,-,"(67,224)","76,417","184,622","193,815"
-,-,-,-,-,-
-,"69,134","2,660,130","80,169","490,572","3,300,005"
"2,087","(27,752)","(701,267)","414,792","403,809","91,669"
