"2,896,340","(515,525)","2,380,815","2,752,488","(556,325)","2,196,163"
"565,746","(413,049)","152,697","431,659","(297,121)","134,538"
"1,617,823","(976,704)","641,119","2,262,582","(1,293,599)","968,983"
"6,565,415","(2,463,589)","4,101,826","5,411,986","(2,147,733)","3,264,253"
"241,439","(150,800)","90,639","231,836","(105,460)","126,376"
"11,886,763","(4,519,667)","7,367,096","11,090,551","(4,400,238)","6,690,313"
"623,203",(482),"622,721","679,980","(1,119)","678,861"
"757,458","(270,024)","487,434","531,352","(210,188)","321,164"
"744,107",-,"744,107","420,879",-,"420,879"
"2,124,768","(270,506)","1,854,262","1,632,211","(211,307)","1,420,904"
"846,413",-,"846,413","937,873",-,"937,873"
"(316,449)",-,"(316,449)","472,313",-,"472,313"
"1,813,953",-,"1,813,953","6,349,076",-,"6,349,076"
"2,343,917",-,"2,343,917","7,759,262",-,"7,759,262"
"4,468,685","(270,506)","4,198,179","9,391,473","(211,307)","9,180,166"
"16,355,448","(4,790,173)","11,565,275","20,482,024","(4,611,545)","15,870,479"
