35%,49%,20%,30%,20%,Column
"10,692,891","7,338,921","1,370,992","1,190,100","131,130","20,724,034"
"(6,282,529)","(5,235,359)","(1,006,058)","(874,805)","(60,858)","(13,459,609)"
"4,410,362","2,103,562","364,934","315,295","70,272","7,264,425"
"1,608,948","1,030,746","72,986","94,598","14,054","2,821,332"
"3,494,029","2,579,173","765,344","271,374","19,707","7,129,627"
"656,573","81,370","61,283","101,099","12,011","912,336"
"93,597","46,024","(17,905)","5,097","1,488","128,301"
"750,170","127,394","43,378","106,196","13,499","1,040,637"
"229,800","39,871","12,257","30,330","2,402","314,660"
"32,760","22,551","(3,581)","1,529",298,"53,557"
"262,560","62,422","8,676","31,859","2,700","368,217"
"1,135,822","(35,243)","18,434,341","324,443","(10,907)","19,848,456"
"(1,050,714)","101,597","(18,606,356)","(4,982)","19,158","(19,541,297)"
"(31,775)","(41,212)","(6,922,853)",-,-,"(6,995,840)"
"53,333","25,142","(7,094,868)","319,461","8,251","(6,688,681)"
