"217,654"
"163,425"
"6,011,881"
"9,263,205"
"179,687"
"2,805,049"
"104,875"
"4,644,331"
"983,598"
"79,869"
"716,367"
"39,666,112"
"1,423,678"
"221,842"
"124,014"
"4,810,755"
"2,805,793"
"6,891,960"
"1,241,065"
"7,247,623"
"964,960"
"90,567,743"
"163,189"
"20,281,061"
"35,988,354"
"8,708,799"
"325,515"
"1,910,747"
"139,133"
"293,024"
"1,336,252"
"69,146,074"
"329,423"
"2,769,487"
"16,352,839"
"494,133"
"19,945,882"
"1,475,787"
"21,421,669"
"90,567,743"
