Column,005,004
,"Gross Reinsurance Net
Shs’000 Shs’000 Shs’000","Gross Reinsurance Net
Shs’000 Shs’000 Shs’000"
"Notified claims
Incurred but not reported","787,938 168,213 619,725
76,794 - 76,794","- - -
- - -"
"Total acquired from Jubilee Holdings
Limited (note 3)
Cash paid for claims settled in year
Increase in liabilities
– arising from current year claims
– arising from prior year claims","864,732 168,213 696,519
(1,043,973) (177,204) (866,769)
811,247 198,089 613,158
456,567 45,617 410,950","- - -
- - -
- - -
- - -"
Total at end of year,"1,088,573 234,715 853,858",- - -
"Notified claims
Incurred but not reported","995,280 234,715 760,565
93,293 - 93,293","- - -
- - -"
Total at the end of year,"1,088,573 234,715 853,858",- - -
