Column,2010,2009
,Kshs ‘000,Kshs ‘000
Reinsurers’ share of:,,
- Unearned premium (Note 30),"1,438,051","725,734"
- Notified claims outstanding and IBNR (Note 35),"1,139,851","962,085"
Total,"2,577,902","1,687,819"
