"226,341","184,548"
"64,950","23,082"
"5,535,330","5,073,192"
"8,735,980","7,733,043"
"73,331","76,149"
"2,675,147","2,344,998"
"104,445","96,868"
"6,446,523","8,002,990"
"1,377,303","1,721,076"
"67,524","44,102"
"495,153","361,981"
"29,604,698","21,923,229"
"1,859,070","1,696,519"
"264,081","189,248"
"45,840","27,725"
"4,214,950","3,653,899"
"2,179,849","1,713,259"
"6,641,579","6,833,940"
"1,035,593","659,145"
"10,029,209","11,022,305"
"701,114","1,124,076"
"82,378,010","74,505,374"
"196,841","158,618"
"18,709,163","19,644,653"
"30,958,100","26,864,350"
"7,760,661","6,608,846"
"269,627","265,928"
-,"1,373,680"
"2,287,144","1,600,892"
"228,195","192,229"
"137,591","130,325"
"1,449,481","1,186,822"
"61,996,803","58,026,343"
"329,423","299,475"
"4,515,296","3,205,055"
"13,759,189","11,484,875"
"494,133","449,212"
"19,098,041","15,438,617"
"1,283,166","1,040,414"
"20,381,207","16,479,031"
"82,378,010","74,505,374"
