Column,17 (ii),Column,Column
,17,,
,18 (iii),,
,15 (a),,
,37 (a),,
,15 (b),,
,19,,
,23,,
,20 (i),,
,21,,
,24,,
,18 (ii),,
,36,,
,25 (i),,
,25 (ii),,
Total assets,,"18,068,064","16,745,889"
,37(b),,
,34(b),,
,36,,
,26,,
,18(iii),,
Total liabilities,,"1,252,365","904,660"
,31,,
,33,,
,32,,
,34(i),,
Total equity,,"16,815,700","15,841,229"
Total liabilities and equity,,"18,068,064","16,745,889"
