"Ordinary
Life",Annuity,Total
2021,2021,2021
Kes ‘000,Kes ‘000,Kes ‘000
"1,316,904","152,024","1,468,928"
"(242,866)","(214,124)","(456,990)"
"36,992","27,014","64,006"
"(91,240)","(34,852)","(126,092)"
"190,248","1,064,798","1,255,046"
"(244,222)","(238,241)","(482,463)"
"965,816","756,619","1,722,435"
