"Liability for remaining
coverage",Column,Column,Column
"Excluding
loss compo-
nent","Loss com-
ponent","Liability for
incurred
claims",Total
Kes 000,Kes 000,Kes 000,Kes 000
-,-,-,-
"10,406,477","960,449","5,352,492","16,719,418"
"(10,406,477)","(960,449)","(5,352,492)","(16,719,418)"
"1,975,252",-,-,"1,975,252"
"1,074,114",-,-,"1,074,114"
"134,314",-,-,"134,314"
"3,183,680",-,-,"3,183,680"
-,-,"(2,620,130)","(2,620,130)"
-,-,-,-
-,"(225,252)",-,"(225,252)"
,-,-,-
"(103,944)",-,-,"(103,944)"
-,-,-,-
"(103,944)","(225,252)","(2,620,130)","(2,949,326)"
"3,079,736","(225,252)","(2,620,130)","234,354"
"(2,369,307)","176,945",-,"(2,192,362)"
"138,830",-,-,"138,830"
"(2,369,307)","176,945",-,"(2,053,532)"
"(4,030,599)",-,"4,030,599",-
-,-,-,-
-,-,-,-
"4,575,853",-,"123,383","4,699,236"
"(1,648,628)",-,-,"(1,648,628)"
-,-,"(4,029,555)","(4,029,555)"
"(1,103,374)",-,"124,427","(978,947)"
"(10,799,422)","(1,008,756)","(7,848,195)","(19,517,543)"
-,-,-,-
"(10,799,422)","(1,008,756)","(7,848,195)","(19,517,543)"
"(10,799,422)","(1,008,756)","(7,848,195)","(19,517,543)"
