STAKEHOLDER,THEIR CONCERNS,ENGAGMENT MODE,WHY WE ENGAGE
,"• Compliance to regulations
• Public and Private Partnerships","• Regulatory forums
• Meetings with regulators
• Regulatory submissions
• Regulatory audits",
,"• Environmental protection
• Human rights
• Financial inclusion awareness
• Business continuity","• Sponsorships
• Donations
• Focused projects/events",
,"• Transparency of activities
• Accurate market updates
• Increase awareness of industry
• Partnerships","• Media briefings
• Social Media
• Website
• Reports",
