Year ended 31 December 2023,Column,Maximum insured loss,Column,Column,Column,Column
Class of business,,,,,,Total
Short-term business,,"Kes 0 m -
Kes 15m","Kes 15m -
Kes 250m","Kes 250m -
Kes 1000m",Kes 1000m +,
,,Kes'000,Kes'000,Kes'000,Kes'000,Kes'000
Corporate,"Gross
Net","436,387
436,387","30,112,414
28,949,442","39,125,775
39,125,775","110,282,070
110,282,070","179,956,646
178,793,674"
SME,"Gross
Net","3,926,089
3,875,025","17,351,538
17,351,538","2,317,470
2,317,470","-
-","23,595,097 23,544,033"
Personal,Gross,"38,601,448","245,910",-,-,"38,847,358"
,Net,"38,596,091","245,910",-,-,"38,842,001"
Long-term business,,,,,,
Ordinary life,Gross,"37,832,274","2,000,050","180,435","105,758","40,118,518"
,Net,"31,439,781","865,058","14,931","3,733","32,323,503"
Group life,Gross,"624,326,748","446,335,266","17,389,919","1,854,805","1,089,906,738"
,Net,"428,410,367","98,561,545","1,173,543","46,409","528,191,864"
Total,Gross,"705,122,946","496,045,178","59,013,600","112,242,633","1,372,424,356"
,Net,"502,757,651","145,973,492","42,631,719","110,332,212","801,695,074"
