Up to 1,1 to 3,3 to 12,Over 1,Column
month,months,months,year,Total
Kes ‘000,Kes ‘000,Kes ‘000,Kes ‘000,Kes ‘000
-,-,"10,363","42,776","53,139"
"20,774","30,554","127,396","872,204","1,050,928"
"143,563","3,766,219","7,529,807","60,434,099","71,873,688"
-,-,-,"620,318","620,318"
"392,478","1,346,336",-,-,"1,738,814"
"2,200,208","1,651,960","1,523,904","971,468","6,347,540"
"1,888,404","10,582,049","2,881,778",-,"15,352,231"
"4,645,427","17,377,118","12,073,248","62,940,865","97,036,658"
"15,609","31,218","140,481","351,189","538,497"
"886,251","4,322,904","3,150,418","21,338,179","29,697,752"
"522,385","1,737,764","13,074,947","62,921,126","78,256,222"
"43,788","72,184","78,177","84,007","278,156"
"606,579","418,561","375,246","207,162","1,607,548"
"1,163,319","1,126,925","867,160","160,040","3,317,444"
"3,237,931","7,709,556","17,686,429","85,061,703","113,695,619"
"1,407,496","9,667,562","(5,613,181)","(22,120,838)","(16,658,961)"
