35%,49%,20%,30%,20%,Column
"7,932,170","6,008,491","982,508","958,748","127,300","16,009,217"
"(5,150,063)","(4,843,010)","(700,881)","(727,452)","(87,373)","(11,508,779)"
"2,782,107","1,165,481","281,627","231,296","39,927","4,500,438"
"973,738","571,087","56,325","69,389","7,985","1,678,524"
"1,876,845","1,789,178","730,190","139,091","10,975","4,546,279"
"578,476","141,857","21,680","67,138","8,576","817,727"
"8,391","11,151","30,844","(8,580)","(2,289)","39,517"
"586,867","153,008","52,524","58,558","6,287","857,244"
"202,466","69,510","4,336","20,141","1,715","298,168"
"(142,304)","59,017","68,657","26,621",(453),"11,538"
"(78,052)","(28,917)",-,-,-,"(106,969)"
"(17,890)","99,610","72,993","46,762","1,262","202,737"
"1,152,940","496,227","(16,122)","26,476","(6,051)","1,653,470"
"(721,894)","(433,960)","(53,589)","(367,072)","10,675","(1,565,840)"
"(223,199)","(59,015)",-,-,-,"(282,214)"
"207,847","3,252","(69,711)","(340,596)","4,624","(194,584)"
