Up to 1,1 to 3,3 to 12,Over 1,Column
month,months,months,year,Total
Kes ‘000,Kes ‘000,Kes ‘000,Kes ‘000,Kes ‘000
-,-,"11,423","47,155","58,578"
"14,734","28,110","166,023","1,150,401","1,359,268"
"179,166","4,646,354","8,833,671","70,874,392","84,533,583"
"531,348","2,006,743",-,-,"2,538,091"
"1,639,477","1,230,952","1,135,532","730,283","4,736,244"
"1,520,381","8,422,072","2,181,023",-,"12,123,476"
"3,885,106","16,334,231","12,327,672","72,802,231","105,349,240"
"25,655","76,967","102,622","121,544","326,788"
"33,336,356",-,-,-,"33,336,356"
"558,358","1,118,587","5,380,691","53,078,431","60,136,067"
"19,966","4,734","89,811","188,013","302,524"
"350,975","36,943","314,286",-,"702,204"
"1,615,495","751,414","1,537,594",-,"3,904,503"
-,-,"56,811","2,359,135","2,415,946"
"35,906,805","1,988,645","7,481,815","55,747,123","101,124,388"
"(32,021,699)","14,345,586","4,845,857","17,055,107","4,224,851"
