US,Uganda,Tanzania,Mauritius,Burundi
Dollar,Shillings,Shillings,Rupees,Francs
Kes’000,Kes’000,Kes’000,Kes’000,Kes’000
-,"3,811,524",-,-,-
-,-,"1,563,926",-,-
-,-,-,"333,168",-
-,-,-,-,"439,695"
-,-,-,-,-
"2,223,047",-,-,-,-
"2,556,185",-,-,-,-
"71,918",-,-,-,-
"4,851,150","3,811,524","1,563,926","333,168","439,695"
-,"(1,327,705)","(757,464)","(66,634)","(128,141)"
"4,851,150","2,483,819","806,462","266,534","311,554"
101.337,36.167,22.677,2.960,18.545
102.013,36.319,22.626,2.971,18.004
