Stage 1,Stage 2,Stage 3,Total
Kes'000,Kes'000,Kes'000,Kes'000
"69,197,746",-,-,"69,197,746"
"40,799",-,-,"40,799"
"1,409,992",-,-,"1,409,992"
"357,227","368,262","152,445","877,934"
"1,237,084",-,-,"1,237,084"
"3,142,436",-,-,"3,142,436"
"1,712,789",-,-,"1,712,789"
"4,566,014",-,-,"4,566,014"
"2,339,737",-,-,"2,339,737"
"84,003,824","368,262","152,445","84,524,531"
