2022
Kes '000
"20,716,447"
"6,854,995"
"1,675,857"
"379,458"
"114,799"
"831,776"
"7,154,683"
"100,158"
"1,619,419"
"5,418,167"
"106,846,135"
"8,978"
"1,403,376"
"1,339,142"
"1,800,889"
"392,712"
"3,738,139"
"801,760"
"3,172,707"
-
"4,003,153"
"2,147,374"
"170,520,124"
"393,617"
"77,276,365"
"1,076,858"
"32,573,722"
"4,941,579"
"492,039"
"83,982"
"340,202"
"315,394"
"3,766,308"
"1,234,713"
-
"122,494,779"
"362,365"
"6,435,352"
"37,974,905"
"797,203"
"45,569,825"
"2,455,520"
"48,025,345"
"170,520,124"
