-,"134,318","343,420","93,240","62,462","633,440"
-,-,"13,829","92,295",-,"106,124"
"505,401","2,773,160","1,219,986","55,275","299,636","4,853,458"
-,"164,930","135,013","32,052","44,313","376,308"
"505,401","3,072,408","1,712,248","272,862","406,411","5,969,330"
-,"1,008,566","820,789","531,032","161,215","2,521,602"
-,"1,801,825","1,247,252","370,919","105,274","3,525,270"
-,"31,121",-,-,"8,555","39,676"
-,"327,374","329,271","50,234","119,461","826,340"
"1,373,680",-,-,-,-,"1,373,680"
"1,373,680","3,168,886","2,397,312","952,185","394,505","8,286,568"
"(868,279)","(96,478)","(685,064)","(679,323)","11,906","(2,317,238)"
