"FV Through
P/L","FV Through
OCI",Total
2022,2022,2022
Kes ‘000,Kes ‘000,Kes ‘000
"6,478,705","483,941","6,962,646"
"(460,715)","515,943","(479,750)"
"149,344","14,914","699,236"
"(63,729)","36,280","(27,449)"
"6,103,605","1,051,078","7,154,683"
