Expense,Income,Net
KShs’000,KShs’000,KShs’000
"832,232","(3,496)","828,736"
"154,804","(49,692)","105,112"
"78,995",-,"78,995"
"1,066,031","(53,188)","1,012,843"
"3,328,793","(2,344,571)","984,222"
