"Estimates of
present value
of future cash
flows","Risk adjust-
ment for
non-financial
risk",CSM,Total
Kes 000,Kes 000,Kes 000,Kes 000
-,-,-,-
"11,468,218","208,366","889,815","12,566,399"
"(11,468,218)","(208,366)","(889,815)","(12,566,399)"
-,-,-,
-,-,"3,278","3,278"
-,"100,000",-,"100,000"
"(108,368)",-,,"(108,368)"
"(108,368)","100,000","3,278","(5,090)"
"(32,171)","4,231","164,075","136,135"
"196,671","(30,734)","(165,937)",-
"(67,265)",-,-,"(67,265)"
"97,235","(26,503)","70,732","68,870"
-,-,-,-
-,-,-,-
-,-,-,-
"(11,133)","73,497","74,010","63,780"
"(21,171)","(1,163)",,"(22,334)"
-,-,-,-
"692,851",-,-,"692,851"
"671,680","(1,163)",-,"670,517"
-,-,-,-
-,-,-,
"597,224",-,-,"597,224"
"(32,968)",-,-,"(32,968)"
"(1,512,010)",-,-,"(1,512,010)"
"(947,754)",-,-,"(947,754)"
"(11,755,425)","(136,032)","(815,805)","(12,779,856)"
-,-,-,-
"(11,755,425)","(136,032)","(815,805)","(12,779,856)"
"(11,755,425)","(136,032)","(815,805)","(12,779,856)"
