Directors Fees,"Sitting
Allowances",Bonuses,"Expense
Allowances",Total
Kes.,Kes.,Kes.,Kes.,Kes.
-,-,-,-,-
-,-,-,-,-
"360,000",-,-,-,"360,000"
-,-,-,-,-
-,-,-,-,-
"960,000",-,-,-,"960,000"
"1,440,000",-,-,-,"1,440,000"
-,-,-,-,-
"720,000",-,-,-,"720,000"
"3,480,000",-,-,-,"3,480,000"
