Stage 1,Stage 2,Stage 3,Total
KShs ‘000,KShs ‘000,KShs ‘000,KShs ‘000
"44,975,816",-,-,"44,975,816"
"802,939",-,-,"802,939"
"39,318",-,"28,679","67,997"
"931,713",-,-,"931,713"
"2,241,441","1,816,743","818,345","4,876,529"
"1,396,006","1,797,159","132,384","3,325,549"
"1,377,227",-,"19,006","1,396,233"
"11,315,417",-,-,"11,315,417"
"2,588,451",-,-,"2,588,451"
"65,688,328","3,613,902","998,414","70,280,644"
