"STAKEHOLDER
CATEGORIES",THEIR CONCERNS,HOW WE ENGAGE
Customers,"• To be treated fairly
• To be protected if the insured risk
materialises
• To get the promised returns on
investments
• For their concerns to be understood
• An insurer they can trust
• Support a better quality of life for
them through health and financial
wellbeing","• Customer surveys
• Customer visits (corporate clients)
• 24 hr call centre
• Email on the Talk2Us
• SMS & Direct phone calls
• Health Wellness programs
• Online wellness forums"
Employees,"• Their concerns to be addressed
• Job security
• Fair pay and treatment
• Human rights
• Career growth","• Staff Surveys on various areas to
identify concerns, get feedback on
changes they would like to see
• Team Building
• Through meetings with HR
business partners"
"Intermediaries –
Agents, Brokers,
and Bank Sales
Officers","• Timely commission payment
• Product and regulatory training
• Relevant tools to support business
closure
• Addressing of concerns
• Growth and career progression.
• Customer service for client
retention","• Agent Town Halls
• Physical and Virtual meetings
• Client meetings"
Tenants,"• Financial Stability
• Building support services","• At on-boarding
• Service issues
• Lease renewal"
Shareholders,"• Return on investment
• Appreciation of share value
• Corporate Governance
• Brand reputation and value","• During AGMs
• Annual Reports"
"Business
Partners/Sup-
pliers","• Business support
• Fair value for goods and services
• Addressing concerns one party
may have with the other","• As and when goods/services
are required
• Concerns regarding
goods/services purchased"
Regulators,"• Guidance,
• Compliance
• Licencing
• Public and Private Partnerships","• Regulatory forums
• Meetings
• Reports
• Regulatory audits"
"Communities
and Society","• Environmental protection
• Human rights
• Economic empowerment
• Business continuity",• Focused Projects
Media,"• Transparency on our activities
• Accurate market updates
• Increase awareness of industry
• Partnerships","• Media briefings
• Social Media
• Website
• Reports"
