Kenya,Uganda,Tanzania,Burundi,Mauritius,Total
Kshs '000,Kshs '000,Kshs '000,Kshs '000,Kshs '000,Kshs '000
"700,000","92,132","127,690","19,380","85,701","1,024,903"
"450,000","75,169","55,042","19,380","75,000","674,591"
