-,-,"4,852,545","10,422,427","15,274,972"
-,-,-,"22,605,806","22,605,806"
-,-,"69,846",-,"69,846"
-,-,"1,901,454",-,"1,901,454"
"203,821","56,603","1,265,243",-,"1,525,667"
-,-,"1,305,953",-,"1,305,953"
"203,821","56,603","9,395,041","33,028,233","42,683,698"
-,-,"3,405,330","8,782,273","12,187,603"
-,-,-,"16,485,196","16,485,196"
-,-,"38,950",-,"38,950"
-,-,"1,647,628",-,"1,647,628"
"157,405","15,907","950,054",-,"1,123,366"
-,-,-,"1,295,706","1,295,706"
"157,405","15,907","6,041,962","26,563,175","32,778,449"
