Kenya,Uganda,Tanzania,Mauritius,Burundi,Total
"29,929,942","3,507,482","2,588,764","623,151","135,483","36,784,822"
"17,550,786","(157,428)","(157,428)","10,216","33,514","17,279,660"
"2,487,666",-,-,-,-,"2,487,666"
"6,668,468","773,217","45,160","33,329","10,368","7,530,542"
"135,474,309","29,851,860","4,104,754",-,"1,089,200","170,520,124"
"109,730,141","8,990,497","2,876,244",-,"897,897","122,494,779"
