Name,March,May,August,December
Nizar Juma,√,√,√,√
Zul Abdul,√,√,√,√
Sultan Allana,√,A,A,A
Lutaf Kassam,A,√,R,R
Juma Kisaame,√,√,√,√
John Metcalf,√,√,√,√
Shabir Abji,A,√,√,√
Jane Mwangi,√,√,√,√
