US,Uganda,Tanzania,Mauritius,Burundi,Column
Dollar,Shillings,Shillings,Rupees,Francs,Total
Kes’000,Kes’000,Kes’000,Kes’000,Kes’000,Kes’000
-,-,"3,617","1,062","81,537","86,216"
"2,087",-,-,-,-,"2,087"
-,270,-,-,-,270
"2,087",270,"3,617","1,062","81,537","88,573"
-,"641,096","331,610",-,-,"972,706"
-,"641,096","331,610",-,-,"972,706"
"2,087","(640,826)","(327,993)","1,062","81,537","(884,133)"
