"Jubilee
Insurance
Entities in
Uganda","Jubilee
Insurance
Entities in
Tanzania","Jubilee
Insurance
Mauritius","Jubilee
Insurance
Entities in
Burundi","Jubilee
Centre
Burundi",Total
Kes ’000,Kes ’000,Kes ’000,Kes ’000,Kes ’000,Kes ’000
35%,49%,20%,30%,20%,
"13,380,989","4,361,262",-,"712,224","146,847","18,601,322"
"8,398,001","2,889,349",-,"(601,740)","61,500","10,747,110"
"21,778,990","7,250,611",-,"110,484","208,347","29,348,432"
"1,695,035","710,270",-,"33,145","17,070","2,455,520"
"3,323,557","1,840,775","541,444","81,334","18,888","5,805,998"
"402,551","45,204","33,329","34,101","11,625","526,810"
"77,912","64,425","(19,382)",-,"7,658","130,613"
"480,463","109,629","13,947","34,101","19,283","657,424"
"140,893","22,150","6,666","10,230","2,325","182,264"
"27,269","31,568","(3,876)",-,"1,532","56,493"
"168,163","53,718","2,790","10,230","3,857","238,757"
"1,135,822","(35,243)","(32,879)","324,443","(10,907)","1,381,236"
"(1,050,714)","101,597","(3,071)","(4,982)","19,158","(938,012)"
"(31,775)","(41,212)",-,-,-,"(72,987)"
"53,333","25,142","(35,950)","319,461","8,251","370,237"
