Group,"Opening
Balance","Net additions/
(redemptions)","Dividends
received","Share of
profit","Share of
OCI","Translation
gain/(loss)","Closing Bal-
ance"
Year 2022,Kes’000,Kes’000,Kes’000,Kes’000,Kes’000,Kes’000,Kes’000
PDM (Holding) Limited,"2,719,270
8,034,615
3,253,781
2,853,303
515,676
359,977
-
-
-","-
(319)
-
-
-
491,347
145,376
76,243
91,023","(99,424)
(1,268,828)
(140,936)
-
-
-
-
-
-","73,552
1,906,247
508,627
38,319
(66,965)
47,563
(21,499)
4,540
(2,718)","10,110
-
115,956
-
-
-
-
-
-","-
756,713
-
259,584
-
55,313
-
-
-","2,703,508
9,428,428
3,737,427
3,151,206
448,711
954,200
123,877
80,784
88,305"
Bujagali Holding Power Company Limited,,,,,,,
FCL Holding Ltd,,,,,,,
IPS Cable Systems Ltd,,,,,,,
Jubilee Allianz Insurance Limited Kenya,,,,,,,
"Jubilee Allianz Insurance Company
Uganda",,,,,,,
"Jubilee Allianz Insurance Company
Tanzania",,,,,,,
"Jubilee Allianz Insurance Company
Burundi",,,,,,,
Jubilee Allianz Mauritius Limited,,,,,,,
Total,"17,736,622","803,670","(1,509,188)","2,487,666","126,066","1,071,610","20,716,446"
