2018
KShs ‘000
"5,410,008"
"168,305"
"374,945"
"(185,067)"
"91,364"
"(7,938,735)"
"(202,370)"
-
"(394,562)"
"(1,339,513)"
"(4,015,625)"
"151,895"
"(121,366)"
"1,246,129"
"(39,158)"
"(315,590)"
"591,381"
"5,524,666"
"54,384"
"(124,229)"
"(181,058)"
"544,181"
"3,315,610"
