US Dollar,"Uganda
Shillings","Tanzania
Shillings","Mauritius
Rupees","Burundi
Francs"
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
-,"7,763,294",-,-,-
-,-,"1,297,071",-,-
-,-,-,"273,903",-
-,-,-,-,"344,968"
-,-,-,-,-
"2,321,370",-,-,-,-
"2,521,406",-,-,-,-
"91,650",-,-,-,-
"4,934,426","7,763,294","1,297,071","273,903","344,968"
-,"(1,105,292)","(626,559)","(54,781)","(100,347)"
"4,934,426","6,658,002","670,512","219,122","244,621"
101.846,36.460,22.583,2.975,17.602
101.299,36.800,22.476,2.979,17.467
