Column,Column,Jun-20,Column,Jun-19,Column
Net profit attributable to Shareholders (Kes'000),,"1,590,021",,"1,573,790",
,Number of ordinary shares in issue,,"72,472,950",,"72,472,950"
,Earnings per share (Kes)-Basic and diluted,,21.94,,21.72
