Uganda,Tanzania,Mauritius,Burundi,Total
-,"1,422,160","270,214","227,857","1,920,231"
-,"(36,456)","(197,467)",-,"(233,923)"
"491,347","145,376","91,024",-,"727,747"
-,"(52,841)","(22,846)","(227,857)","(303,544)"
"491,347","1,478,239","140,925",-,"2,110,511"
