Asset Remaining coverage,Column,Asset for Incurred claims,Column,Total
"Exclud-
ing loss
recovery
component","Loss recov-
ery compo-
nent","Estimates
of present
value of
future
cash
flows","Risk adjustment
for non-financial
risk",
Kes 000,Kes 000,Kes 000,Kes 000,Kes 000
"2,021,390","11,214","436,176","3,693","2,472,473"
-,-,-,-,-
"2,021,390","11,214","436,176","3,693","2,472,473"
"(827,484)",-,-,-,"(827,484)"
-,-,,,0
"150,445",-,"705,253",738,"856,436"
-,-,-,-,-
-,-,-,-,-
"(677,039)",0,"705,253",738,"28,952"
-,-,-,-,-
-,-,-,-,-
"417,305","1,984","100,231",654,"520,174"
"417,305","1,984","100,231",654,"520,174"
-,-,-,-,-
-,-,-,-,
"739,583",-,"340,746",-,"1,080,329"
"(58,267)","18,453","(800,705)",-,"(840,519)"
"681,316","18,453","(459,959)",-,"239,810"
"2,442,972","31,651","781,701","5,085","3,261,409"
"2,442,972","31,651","781,701","5,085","3,261,409"
-,-,-,-,-
"2,442,972","31,651","781,701","5,085","3,261,409"
