Column,2024,2023
,KShs ‘000,KShs ‘000
Deposits with financial institutions,,
"Diamond Trust Bank Limited 1,159,580 871,240",,
Total,"1,159,580","871,140"
Interest received from financial institutions,,
"Diamond Trust Bank Limited 262,999 163,993",,
Total,"262,999","163,993"
