Gross,"46,058,765","10,441,576","5,078,625","1,503,986","63,082,952"
Net,"34,045,790","10,441,576","5,078,625","1,503,986","51,069,977"
Gross,"20,749,734","109,490,017","108,305,393","287,540,660","526,085,804"
Net,"16,541,542","58,912,204","13,638,728","4,880,000","93,972,474"
Gross,"3,909,530","41,590,397","4,442,235","10,939,515","60,881,677"
Net,"3,126,019","18,233,255","780,000","180,000","22,319,274"
Gross,"44,950,457","212,084,786","96,110,426","374,742,620","727,888,289"
Net,"32,085,883","122,545,250","58,810,877","131,127,884","344,569,894"
Gross,"16,197,680","383,429",-,-,"16,581,109"
Net,"15,921,908","27,000",-,-,"15,948,908"
Gross,"885,783,841","222,241,508","1,987,408",-,"1,110,012,757"
Net,"679,272,292","25,425,000","15,000",-,"704,712,292"
Gross,"1,017,650,007","596,231,713","215,924,087","674,726,781","2,504,532,588"
Net,"780,993,434","235,584,285","78,323,230","137,691,870","1,232,592,819"
