"2,924,694","2,303,587","4,066,139","8,439,224","10,847,072","28,580,716"
"3,223,537","2,135,463","2,848,563","5,539,124",-,"13,746,687"
"2,088,610","1,550,058","3,251,891",-,-,"6,890,559"
"2,101,208","1,798,669",-,-,-,"3,899,877"
"3,099,790",-,-,-,-,"3,099,790"
"3,099,790","1,798,669","3,251,891","5,539,124","10,847,072","24,536,546"
"(2,580,110)","(1,338,087)","(2,699,755)","(4,210,777)","(7,923,077)","(18,751,806)"
"519,680","460,582","552,136","1,328,347","2,923,995","5,784,740"
-,-,-,-,"1,545,468","1,545,468"
"519,680","460,582","552,136","1,328,347","4,469,463","7,330,208"
