"Standards/ Amend-
ments",Changes or Amendments,Effective Date
"Amendments to IAS 8
Accounting Polices, Changes
in Accounting Estimates
and Errors—Definition of
Accounting Estimates","The group has adopted the amendments to IAS 8 for the first time in the current year. The amend-
ments replace the definition of a change in accounting estimates with a definition of accounting
estimates. Under the new definition, accounting estimates are ""monetary amounts in financial
statements that are subject to measurement uncertainty"". The definition of a change in accounting
estimates was deleted.
The Group’s application of the new and revised standards did not have significant im-
pact to these financial statements.",1 January 2023
"Amendment to IAS 1 ‘Presenta
tion of Financial Statements’ on
Classification of Liabilities as
Current or Non-current","- The amendment clarifies that liabilities are classified as either current or non-current, depending on
the rights that exist at the end of the reporting period. Classification is unaffected by expectations
of the entity or events after the reporting date (for example, the receipt of a waiver or a breach o
covenant).
The Group’s application of the new and revised standards did not have significant im-
pact to these financial statements.","1 January 2023
f"
IFRS 17 Insurance Contracts,"The group has adopted IFRS 17 and the related amendments for the first time in the current year
IFRS 17 establishes the principles for the recognition, measurement, presentation and disclosure o
insurance contracts and supersedes IFRS 4 Insurance Contracts.
IFRS 17 outlines a general model, which is modified for insurance contracts with direct participation
features, described as the variable fee approach. The general model is simplified if certain criteria
are met by measuring the liability for remaining coverage using the premium allocation approach
The general model uses current assumptions to estimate the amount, timing and uncertainty of future
cash flows and it explicitly measures the cost of that uncertainty. It takes into account market interes
rates and the impact of policyholders’ options and guarantees.
Refer to Note 2.2 Insurance Contracts,",". 1 January 2023
f
.
t"
"Amendments to IAS 12 Income
Taxes—Deferred Tax related
to Assets and Liabilities arising
from a Single Transaction","The group has adopted the amendments to IAS 12 for the first time in the current year. The amend
ments introduce a further exception from the initial recognition exemption. Under the amendments
an entity does not apply the initial recognition exemption for transactions that give rise to equa
taxable and deductible temporary
differences. Depending on the applicable tax law, equal taxable and deductible temporary differ
ences may arise on initial recognition of an asset and liability in a transaction that is not a business
combination and affects neither accounting profit nor taxable profit.
Following the amendments to IAS 12, an entity is required to recognise the related deferred tax
asset and liability, with the recognition of any deferred tax asset being subject to the recoverability
criteria in IAS 12.
The Group’s application of the new and revised standards did not have significant im-
pact to these financial statements.","- 1 January 2023
,
l
-"
