Maximum insured loss,Column,Column,Column,Column
,,,,Total
"Kes 0m -
Kes 15m","Kes 15m -
Kes 250m","Kes 250m -
Kes 1000m",Kes 1000m +,
Kes'000,Kes'000,Kes'000,Kes'000,Kes'000
"13,901,647","13,669,153","4,218,552","7,562,786","39,352,138"
"8,460,337","12,231,133","3,319,713","9,211,834","33,223,017"
"2,375,634","17,513,471","19,046,788","655,244,940","694,180,833"
"1,718,979","14,724,228","15,958,301","69,830,672","102,232,180"
"1,211,436","12,710,167","9,887,850","180,831,010","204,640,463"
"1,112,585","12,279,835","9,385,970","29,111,842","51,890,232"
"206,136","5,466,615","2,371,206","55,100,313","63,144,270"
"170,418","4,789,945","892,309","1,688,603","7,541,275"
"229,750","13,006,977","9,188,114","15,078,299","37,503,140"
"105,662","8,302,220","2,374,008","596,677","11,378,567"
"31,160,598","3,573,435","45,126",-,"34,779,159"
"27,777,873","3,003,860",(496),-,"30,781,237"
"161,176,314","112,116,352","28,275,988","187,548,485","489,117,139"
"111,836,444","33,362,663","7,359,753","76,415,614","228,974,474"
"1,206,956","423,105",-,-,"1,630,061"
"1,206,947","423,105",-,-,"1,630,052"
"211,468,471","178,479,275","73,033,624","1,101,365,833","1,564,347,203"
"152,389,245","89,116,989","39,289,558","186,855,242","467,651,034"
