"Less than
1 month","Between
1 - 3 months","Between
3 - 12 months","Over
1 Year",Total
Kshs '000,Kshs '000,Kshs '000,Kshs '000,Kshs '000
"157,405","15,907","578,710","371,344","1,123,366"
-,-,-,"1,295,706","1,295,706"
"157,405","15,907","578,710","1,667,050","2,419,072"
"Less than
1 month","Between
1 - 3 months","Between
3 - 12 months","Over
1 Year",Total
Kshs '000,Kshs '000,Kshs '000,Kshs '000,Kshs '000
"155,277","4,571","597,285","137,164","894,297"
-,-,-,"1,245,509","1,245,509"
"155,277","4,571","597,285","1,382,673","2,139,806"
