Maximum insured loss,Column,Column,Column,Column
"Kes 0 m -
Kes 15m","Kes 15m -
Kes 250m","Kes 250m -
Kes 1000m","Kes 1000m
+",Total
Kes'000,Kes'000,Kes'000,Kes'000,Kes'000
"85,448,007","23,030,901","3,486,240","7,134,541","119,099,689"
"85,361,342","21,915,368","2,630,620","5,687,485","115,594,815"
"37,112,490","85,220,666","71,480,203","1,354,091,290","1,547,904,649"
"11,022,067","84,680,588","27,995,554","84,793,546","208,491,755"
"1,725,751","8,997,053","6,207,909","134,925,325","151,856,038"
"1,706,327","8,677,609","5,543,036","28,675,955","44,602,927"
"426,150","5,703,767","4,472,024","50,587,056","61,188,997"
"194,391","5,621,118","4,291,755","20,666,918","30,774,182"
"22,784,603","70,984,641","53,553,220","297,603,263","444,925,727"
"10,478,673","45,308,767","13,836,980","11,776,724","81,401,144"
"29,335,327","3,097,839","42,321",-,"32,475,487"
"26,249,928","2,827,720",(465),-,"29,077,183"
"160,181,125","107,009,272","27,373,750","299,468,218","594,032,365"
"110,867,785","30,629,890","7,310,894","117,148,168","265,956,737"
"1,256,312","1,257,783",-,-,"2,514,095"
"1,125,658","11,255,978",-,-,"12,381,636"
"338,269,765","305,301,922","166,615,667","2,143,809,693","2,953,997,047"
"247,006,171","210,917,038","61,608,374","268,748,796","788,280,379"
