Gross,"61,522,226","38,470,323","6,060,030","933,185","106,985,764"
Net,"38,173,222","28,053,780","5,038,504","41,033","71,306,539"
Gross,"19,655,140","125,077,724","115,872,876","982,928,522","1,243,534,262"
Net,"16,421,844","97,961,483","40,904,417","66,150,447","221,438,191"
Gross,"2,974,116","64,915,299","21,123,879","223,706,195","312,719,489"
Net,"2,137,766","55,155,172","15,123,585","25,693,316","98,109,839"
Gross,"75,480,632","252,834,134","143,820,261","844,731,147","1,316,866,174"
Net,"44,121,396","179,750,450","85,534,307","270,059,041","579,465,194"
Gross,"24,830,597","1,982,614","8,230",-,"26,821,441"
Net,"24,160,037","1,655,215",-,-,"25,815,252"
Gross,"1,524,138,031","428,342,475","15,683,836","2,405,925","1,970,570,267"
Net,"994,128,936","158,976,443","5,000",-,"1,153,110,379"
Gross,-,-,-,-,-
Net,-,-,-,-,-
Gross,"1,708,600,742","911,622,569","302,569,112","2,054,704,974","4,977,497,397"
Net,"1,119,143,201","521,552,543","146,605,813","361,943,837","2,149,245,394"
