"Up to 1
month","1 to 3
months","3 to 12
months","Over 1
year",Total
Kes '000,Kes '000,Kes '000,Kes '000,Kes '000
-,-,"11,726","36,397","48,123"
"22,967","43,816","258,788","1,581,588","1,907,159"
"211,512","5,485,216","10,428,518","80,807,253","96,932,499"
-,-,-,"3,932,203","3,932,203"
"358,572","1,354,217",-,-,"1,712,789"
"953,050","715,568","660,100","420,805","2,749,523"
"995,942","5,516,969","1,428,703",-,"7,941,614"
"2,542,043","13,115,786","12,787,835","86,778,246","115,223,910"
"18,529","90,380","65,866","270,115","444,890"
"309,105","1,028,267","7,736,687","23,407,687","32,481,746"
"11,097,834","18,294,750","19,813,649","21,291,210","70,497,443"
"121,461","83,813","75,139","41,482","321,895"
"108,517","88,379","68,007","12,551","277,454"
"165,764","411,173","823,118","2,543,288","3,943,343"
"856,058","8,052,340","(7,242,542)","299,667","1,965,523"
"12,677,268","28,049,102","21,339,924","47,866,000","109,932,294"
"(10,135,225)","(14,933,316)","(8,552,089)","38,912,246","5,291,616"
