KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"198,887",-,"(110,696)","10,244",-,-,"98,435"
"2,184,599",-,"(9,985)","158,028","75,345",-,"2,407,987"
"2,282,893","(580,554)",-,"586,035",-,"(24,071)","2,264,303"
"2,206,143",-,"(217,410)","328,674","(28,126)",-,"2,289,281"
"2,390,683",-,-,"99,721",-,"28,917","2,519,321"
"9,263,205","(580,554)","(338,091)","1,182,702","47,219","4,846","9,579,327"
