Column,"2014 2015
Kshs ‘000 Kshs ‘000",Column,Column
"974,878","231,436","(5,019)","3,951"
-,-,-,-
"(27,085)","515,239",-,-
"(373,441)","228,251","12,014","(8,970)"
"(45,864)",(48),-,-
"528,488","974,878","6,995","(5,019)"
