w standard or amendments,"Effective for annual periods
beginning on or after"
venue from contracts with customers (IFRS 15),1 January 2018
ancial instruments (IFRS 9),1 January 2018
plying IFRS 9 financial instruments with IFRS 4 insurance contracts (Amendments to IFRS 4),1 January 2018
IC 22 foreign currency transactions and advance consideration,1 January 2018
assification and measurement of share based payment transactions (Amendments to IFRS 2),1 January 2018
nsfers of Investment Property (IAS 40),1 January 2018
