-,-,"6,853,606","4,634,692",-,"11,488,298"
-,-,"26,584","109,740","(27,226)","109,098"
"9,501","18,126","107,056","751,534","(97,259)","788,958"
"102,983","2,670,683","5,077,515","40,752,048","(1,408,007)","47,195,222"
-,-,-,"951,858","(47,851)","904,007"
"226,232","854,410",-,-,-,"1,080,642"
"2,522,240","1,893,748","1,746,950","1,113,657",-,"7,276,595"
"1,517,872","8,408,173","2,177,424",-,-,"12,103,469"
"4,378,828","13,845,140","15,989,135","48,313,529","(1,580,343)","80,946,289"
"1,040,527","5,075,420","3,698,832","25,052,655","(9,883,930)","24,983,504"
"401,723","1,336,369","10,054,851","48,387,388","(17,965,995)","42,214,336"
"51,277","84,530","91,548","98,375",-,"325,730"
"757,275","522,547","468,470","258,629",-,"2,006,921"
"924,849","753,225","579,601","106,969",-,"2,364,644"
"3,175,651","7,772,091","14,893,302","73,904,016","(27,849,925)","71,895,135"
"1,203,177","6,073,049","1,095,833","(25,590,487)","26,269,582","9,051,154"
