Directors Fees,Sitting Allowance,Bonuses,"Expense
allowances",Total
Kes.,Kes.,Kes.,Kes.,Kes.
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
"960,000",-,-,-,"960,000"
"1,440,000",-,-,-,"1,440,000"
-,,,,-
"960,000",,,,"960,000"
-,-,-,-,-
"3,360,000",-,-,-,"3,360,000"
