Maximum insured loss,Column,Column,Column,Column
"Kes 0m -
Kes 15m","Kes 15m -
Kes 250m","Kes 250m -
Kes 1000m",Kes 1000m +,Total
Kes '000,Kes '000,Kes '000,Kes '000,Kes '000
"5,477,309","1,180,780","739,933","866,716","8,264,738"
"4,929,578","1,062,702","665,940","780,044","7,438,264"
"31,052","2,307,743","7,314,629","58,269,160","67,922,584"
"24,842","1,846,194","5,851,703","46,615,328","54,338,067"
"18,889","119,226","334,564","1,439,604","1,912,283"
"18,322","115,649","324,527","1,396,416","1,854,915"
"6,623,018","28,579,862","93,152,707","98,181","128,453,768"
"3,973,811","17,145,857","55,873,377",-,"76,993,045"
"229,750","13,006,977","9,188,114","15,078,299","37,503,140"
"195,288","11,055,930","7,809,897","12,816,554","31,877,669"
"32,048,879","24,227,536","138,383","89,861","56,504,659"
"31,692,850","23,892,309","5,828","3,172","55,594,159"
"685,672,294","579,769,267","31,607,158","4,810,374","1,301,859,093"
"462,773,515","156,584,583","7,722,373","(37,927)","627,042,544"
"1,206,956","423,105",-,-,"1,630,061"
"1,206,947","423,105",-,-,"1,630,052"
"731,308,147","649,614,496","142,475,488","80,652,195","1,604,050,326"
"504,815,153","212,126,330","78,253,645","61,573,587","856,768,715"
