Activity,Gri standard,Disclosure,Page no.,Report section
"GRI 404: Training and
Education 2016",GRI 404 – 1,Average hours of training per year per employee,,Human Capital
,GRI 404 – 2,"Programs for upgrading employee skills and
transition assistance program",,
,GRI 404 – 3,"Percentage of employees receiving regular perfor-
mance and career development reviews",,
"GRI 405: Diversity and
Equal Opportunity 2016",GRI 405 – 1,Diversity of Governance bodies and employees,,Corporate Governance Statement
,,,,Human Capital
"GRI 416: Customer
Health and Safety",GRI 416 -1,"Assessment of the health and safety impacts of
product and services category",,Customers
