Column,Column,"ytiuqE
latoT","000‘
seK","763,170,82",")985,617(","877,453,72","786,710,4","936,25",")171,761(","551,309,3",-,-,-,-,")487,975(",")640,48(",")374,27(",-,")303,637(","036,125,03"
-noN,gnillortnoC,tseretnI,"000‘
seK","979,688,1",-,"979,688,1","912,164","895,11",")150,2(","667,074",-,-,-,-,-,")640,48(",-,-,")640,48(","996,372,2"
ytiuqE,elbatubirttA,"srenwO
ot","000‘
seK","883,481,62",")985,617(","997,764,52","864,655,3","140,14",")021,561(","983,234,3",-,-,-,-,")487,975(",-,")374,27(",-,")752,256(","139,742,82"
,desoporP,sdnedivid,"000‘
seK","487,975",-,"487,975",,-,-,-,-,-,-,-,")487,975(",-,-,"487,975",-,"487,975"
,deniateR,sgninraE,"000‘
seK","314,960,12",")833,05(","570,910,12","864,655,3",-,-,"864,655,3",")022,491(",")150,884(","864,773,1","791,596",-,-,")374,27(",")487,975(",")752,256(","384,816,42"
sevreseR,yrotutatS,evreseR,"000‘
seK","603,895,3",")152,666(","550,239,2",-,-,-,-,-,"150,884",")864,773,1(",")714,988(",-,-,-,-,-,"836,240,2"
,ycnegnitnoC,sevreseR,"000‘
seK","772,332,1",-,"772,332,1",-,-,-,-,"022,491",-,-,"022,491",-,-,-,-,-,"794,724,1"
,noitalsnarT,sevreseR,"000‘
seK",")427,349(",-,")427,349(",-,"140,14",-,"140,14",-,-,-,-,-,-,-,-,-,")386,209("
,lareneG,sevreseR,"000‘
seK","000,07",-,"000,07",-,-,-,-,-,-,-,-,-,-,-,-,-,"000,07"
,"eulaV
riaF",sevreseR,"000‘
seK","769,412",-,"769,412",-,-,")021,561(",")021,561(",-,-,-,-,-,-,-,-,-,"748,94"
,erahS,latipaC,"000‘
seK","563,263",-,"563,263",-,-,-,-,-,-,-,-,-,-,-,-,-,"563,263"
