IL: Traditional,Group Credit,Annuities,Total
Kes 000,Kes 000,Kes 000,Kes 000
"2,572,256","341,116","107,888","3,021,260"
-,-,-,-
"667,744","113,294","692,933","1,473,971"
"3,240,000","454,410","800,821","4,495,231"
"1,028,211","115,933","64,059","1,208,203"
-,-,-,-
"361,872","8,813",-,"370,685"
"1,390,083","124,746","64,059","1,578,888"
