Operating Segments,GROUP,Column,Column,Column
,Kes '000,,,
For the year ended 31 December 2023,Life,Health,Investments,Total
"Insurance revenue
Insurance Service Expense","7,676,108","15,101,789",-,"22,777,897"
,"(6,402,000)","(15,423,894)",-,"(21,825,894)"
"Insurance service results from insurance con-
tracts issued","1,274,108","(322,105)",-,"952,003"
"Allocation of reinsurance premiums paid
Amounts recovered from reinsurance contracts",,,,
,"(955,381)","(827,484)",-,"(1,782,865)"
,"650,843","856,437",-,"1,507,280"
Net expenses from reinsurance contracts held,"(304,538)","28,953",-,"(275,585)"
"Insurance service results
Interest revenue from financial assets not measured at
FVTPL
Net losses on FVTPL investments
Net gains from fair value adjustments to investment
properties
Investment income
Gain on sale of investments at FVTPL
Foreign exchange gain
Allowance for expected credit losses","969,570","(293,152)",-,"676,418"
,"6,117,810","5,110,919","2,807,182","14,035,911"
,"(787,795)","(658,137)","(361,483)","(1,807,415)"
,"46,980","39,248","21,557","107,784"
,"358,327","299,352","164,420","822,099"
,"127,807","106,772","58,645","293,223"
,"361,067","301,641","165,677","828,385"
,"(1,870)","(1,562)",(858),"(4,290)"
Total Investment Income,"6,222,325","5,198,233","2,855,139","14,275,697"
"Insurance finance income/expenses from insurance
contracts issued","(11,053,104)",-,-,"(11,053,104)"
Finance income/expenses result,"(11,053,104)",-,-,"(11,053,104)"
"Net insurance and investment result
Gain on disposal of subsidiaries
Other Income
Other Expenses","(3,861,209)","4,905,081","2,855,139","3,899,011"
,-,-,"246,866","246,866"
,"6,830","2,087","111,001","119,918"
,"(564,696)","(502,316)","(542,483)","(1,609,495)"
"Total Expenses and other Income
Share of results of associate
Finance Costs","(557,866)","(500,229)","(184,616)","(1,242,711)"
,"471,638","286,626","2,034,850","2,793,114"
,-,"36,399","(175,152)","(138,753)"
"Group profit before income tax
Income tax expense","(3,947,437)","4,727,877","4,530,221","5,310,661"
,"(750,694)","(111,732)","(32,322)","(894,748)"
Profit for the year,"(4,698,131)","4,616,145","4,497,899","4,415,913"
