Column,Names,Number of shares held,% Shareholding
1,Aga Khan Fund for Economic Development,"27,528,739",37.98%
2,Pyrus Investments Limited,"7,682,480",10.60%
3,Stanbic Nominees Ltd. A/c NR3530153-1,"2,405,923",3.32%
4,Freight Forwarders Limited,"2,037,235",2.81%
5,United Housing Estates Limited,"1,314,947",1.81%
6,Adam’s Brown and Company Limited,"1,294,830",1.79%
7,Standard Chartered Kenya Nominees Ltd A/c 133935500055,"418,000",0.58%
8,Investments & Mortgages Nominees Limited A/c 003746,"402,350",0.56%
9,Investments & Mortgages Nominees Limited A/c 003745,"402,350",0.56%
10,Gulshan Noorali Sayani,"362,507",0.50%
,Total top 10 largest shareholders,"43,849,361",60.51%
,Others,"28,623,589",39.49%
,TOTAL,"72,472,950",100%
